action	Aktion
answer_5_correct.h	Mit Aktivierung dieses Parameters wird die Richtigkeit dieser Antwort festgelegt.
answer_6_correct	Antwort 6 richtig
answer_6_correct.h	Mit Aktivierung dieses Parameters wird die Richtigkeit dieser Antwort festgelegt.
answer_7_correct	Antwort 7 richtig
answer_7_correct.h	Mit Aktivierung dieses Parameters wird die Richtigkeit dieser Antwort festgelegt.
answer_8_correct	Antwort 8 richtig
answer_8_correct.h	Mit Aktivierung dieses Parameters wird die Richtigkeit dieser Antwort festgelegt.
show_nav_buttons	Steuerung anzeigen
show_nav_buttons.h	Mit dieser Option kann die Navigation bzw. Steuerung innerhalb der Bubble ein- und ausgeblendet werden.
shuffle_solutions	Lösungen mischen
shuffle_solutions.h	Mit Aktivierung dieses Parameters werden die Antworten in ihrer Reihenfolge beliebig gemischt.
feedback	Feedback
feedback_enable	Feedback aktivieren
feedback_enable.h	Mit Aktivierung dieses Parameters wird der entsprechende Feedback-Text angezeigt. Dieser kann global im zentralen Einstellungsdialog oder separat für diesen Quiz im Makro-Editor geändert werden, wenn die Option 'Mehr anzeigen' aktiviert ist.
feedback_pass	Quiz bestanden
feedback_pass.h	Der hier eingegebene Text wird angezeigt, wenn ein Quiz richtig gelöst wurde. Hierfür muss die Einstellung 'Feedback aktivieren' ausgewählt sein.
feedback_fail	Quiz nicht bestanden
feedback_fail.h	Der eingegebene Text wird angezeigt, wenn ein Quiz falsch gelöst wurde. Hierfür muss die Einstellung 'Feedback aktivieren' ausgewählt sein.
sqmaquiz	Felder ausfüllen
fibquiz	Lückentext
matchquiz	Zuordnen
connquiz	Verbindung
mixquiz	Sortieren
quiz_alignment	Ausrichtung
quiz_alignment.h	Legt die Darstellung der Antworten in horizontaler oder vertikaler Ausrichtung fest.
qa_horizontal	horizontal
qa_vertical	vertikal
scalequiz	Schieberegler
range	Bereich
range.h	Definiert den Zahlenbereich des Anfangs- und des Endwertes für den Schieberegler. Die beiden Werte sind mit einem Bindestrich anzugeben. Bsp: 2-9
answer	Antwort
answer.h	Dieser Parameter definiert die Antwort durch Angabe eines Zahlenwertes.
gridquiz	Gitter
grid_list	Antwortmöglichkeiten
grid_list.h	In diesem Texfeld können mehrere Antwortmöglichkeiten eingegeben werden, welche in der angegebenen Reihenfolge die Spalten der Tabelle bilden. Die Antworten sind durch ein Komma zu trennen.
qt_text	Texteingabe
qt_drop_down	Drop-Down Liste
qt_drag_drop	Drag & Drop
at_text	Text
at_integer	Ganze Zahl
at_float	Fliesskommazahl
at_regexp	Regulärer Ausdruck
at_comma_list	kommaseparierte Liste
quiz_type	Typ
quiz_type.h	Bestimmt den Antwort-Typ.
answer_type	Typ
answer_type.h	Dieser Parameter definiert die Eingabe der Antwort. Es kann bestimmt werden, ob für eine Texteingabe Groß- und Kleinschreibung berücksichtigt wird, ob nur Zahlen-Antworten zugelassen sind bzw. Listen oder reguläre Ausdrücke angegeben werden können.
quiz_selection_type	Typ
quiz_selection_type.h	Über die Auswahl kann die Reihenfolge und Anzeige der im Makro 'Quizauswahl' enthaltenen Quiz geändert werden. Mit der Option 'Zufallsauswahl' wird nur ein beliebiger Quiz aus der Auswahl und mit der Option 'Quiz mischen' alle Quiz-Typen der Auswahl in zufälliger Reihenfolge angezeigt.
force_multiple_choice	Mehrfachauswahl erzwingen
force_multiple_choice.h	Ist dieser Parameter aktiviert, ist eine Mehrauswahl auch dann möglich, wenn lediglich eine Antwort richtig ist.
more_answers	Mehr Antworten
mode_avail	Verfügbar in Modus
mode_avail.h
one_for_all	Nur erste Antwort-Liste
one_for_all.h	Mit Aktivierung dieses Parameters können nur die eingegebenen Antworten aus dem ersten Antwortfeld in den Lückentext eingefügt werden.
qst_random_choice	Zufallsauswahl
qst_shuffle_quizzes	Quiz mischen
quiz_eval	Quiz-Auswertung
fibtext	Lückentext
fibtext.h	Enthält den Lückentext. Drei Unterstriche definieren dabei den Platzhalter für die jeweilige Wortlücke. Hinweis: In einem Antwortfeld können auch mehrere Antwortmöglichkeiten für eine Textlücke eingegeben werden. Diese sind dann mit einem Komma zu trennen, wobei die richtige Antwort mit einem Stern zu markieren ist. Bsp.: Antwort1,*Antwort2,Antwort3
visual_effects	Aktiviere visuelle Effekte
visual_effects.h
quiz_threshold	Erforderliches Ergebnis (%)
quiz_threshold.h	Definert einen Wert, den es zu erreichen gilt, um den jeweiligen Quiz zu bestehen. Dieser Wert wird in Prozent angegeben.
quiz_media	Medien
qm_file	Medien-Datei
qm_file.h	Über diesen Parameter kann eine Bild-, Video- oder Audio-Datei zur unterstützenden Darstellung der Aufgabe eingefügt werden. Die Medien-Datei wird rechts neben der Aufgabenstellung platziert.
qm_width	Breite
qm_width.h	Definiert die Breite der Medien-Datei.
qm_height	Höhe
qm_height.h	Definiert die Höhe der Medien-Datei.
qm_as_question	Anstatt der Frage anzeigen
qm_as_question.h	Mit Aktivierung dieses Parameters wird die Medien-Datei im Quiz anstelle der Frage angezeigt. 
feedback_popup	Zeige Feedback als Popup
feedback_popup.h	Mit Aktivierung dieses Parameters wird der entsprechende Feedback-Text als Popup-Fenster dargestellt. Bei Deaktivierung wird der Feedback-Text innerhalb des Aufgaben-Fensters angezeigt.
quiz_timeout	Zeitlimit in Sekunden
quiz_timeout.h	Mit diesem Parameter kann eine Zeit angegeben werden, innerhalb welcher der Quiz zu beantworten ist.
feedback_time	Quiz Timeout
feedback_time.h	Der eingegebene Text wird angezeigt, wenn die vorgegebene Zeit zur Beantwortung eines Quiz abgelaufen ist. Hierfür muss vorhergehend ein entsprechendes Zeitlimit definiert und die Einstellung 'Feedback aktivieren' ausgewählt sein.
print_solution	Mit Lösungen drucken
print_solution.h	Mit Aktivierung dieses Parameters werden bei Generierung einer Dokumentation die Lösungen der Quiz mit ausgegeben.
workflow_enabled	Prozessablauf
workflow_enabled.h	Stellt den Prozessablauf innerhalb der HTML- und Word-Dokumentation dar (gilt nicht für Job-Hilfe). 
quizzes	Quiz
quizzes.h
g_quiz_timeout	Zeitlimit für gesamten Quiz in Sekunden
g_quiz_timeout.h	Über diesen Parameter kann ein Zeitlimit für den gesamten Quiz festgelegt werden. Alle Fragen müssen dann innerhalb der vorgegebenen Zeit beantwortet werden.
g_quiz_style_dir	Quiz-Stil
g_quiz_style_dir.h	Mit dieser Einstellung kann ein vorgegebener Stil für die Gestaltung eines Quiz ausgewählt werden. Die jeweiligen Stile sind unter Workarea \ resource \ quiz_styles zu finden.
puzzlequiz	Puzzle
qp_pieces_x	Teile horizontal
qp_pieces_x.h	Der eingegebene Zahlenwert definiert die Anzahl der horizontalen Teile, in denen das Ausgangsbild unterteilt wird.
qp_pieces_y	Teile vertikal
qp_pieces_y.h	Der eingegebene Zahlenwert definiert die Anzahl der vertikalen Teile, in denen das Ausgangsbild unterteilt wird.
at_cs_text	Text (Groß-/Kleinschreibung)
at_cs_comma_list	Kommaseparierte Liste (Groß-/Kleinschreibung)
qt_cs_text	Texteingabe (Groß-/Kleinschreibung)
qp_show_hint	Hilfebild anzeigen
qp_show_hint.h	Mit Aktivierung dieses Parameters wird das Ausgangsbild zur Unterstützung rechts neben dem Puzzle angezeigt.
qt_oneplace_puzzle	in einem Feld anordnen
qt_twoplace_puzzle	in zweitem Feld anordnen
feedback_correct_solutions	Richtige Antworten anzeigen
feedback_correct_solutions.h	Mit Aktivierung dieses Parameters wird nach der Bestätigung der eingegebenen Antwort, bei falscher Beantwortung einer Frage, die richtige Antwort im Feedback-Text angezeigt.
highlights	Highlights
hotspotquiz	Bildbereich
hs_image	Bild
hs_image.h	Dieser Parameter enthält die Bild-Datei, in welcher der Bildbereich markiert werden soll. Die Datei kann zuvor über 'Datei einfügen' oder durch das Erstellen eines Screenshots über 'Bild ersetzen' eingefügt werden.\nÜber die Funktion 'Dok.Bildausschnitt' kann nach dem Einfügen des Bildes der Bereich für die Markierung definiert werden.
quiz_options	Optionen
g_quiz_skipping	Quiz überspringen erlauben
g_quiz_skipping.h	Ist dieser Parameter aktiviert, kann ein Quiz übersprungen werden, ohne eine Antwort eingeben zu müssen. Die Antworten werden dabei nicht in der Auswertung angezeigt und in der Punktewertung nicht berücksichtigt. Ist der Parameter deaktiviert, wird eine Antwort vorausgesetzt, um den nächsten Quiz anzeigen zu können.
eval_type	Auswertungsformat
eval_type.h	Dieser Parameter bestimmt, wie detailreich die Auswertung angezeigt wird. Unter 'minimal' wird eine Auswertung der Punkte angezeigt. Bei 'reduziert' wird zusätzlich eine Tabelle, mit dem Quiz-Typ, dem Ergebnis und dem Punktwert angezeigt. Mit der Auswahl 'vollständig' werden in der Tabelle auch die Lösungen eines Quiz dargestellt.
et_full	vollständig
et_reduced	reduziert
et_minimal	minimal
proj_title	Projektname
proj_title.h	Enthält den Projektitel als Überschrift für die Auswertungsseite.
title.h	Enthält den Namen für den Quiz.
hotspot_define	Bildbereich definieren
process_enable.h	Mit Aktivierung dieses Parameters wird dieser Lernschritt im Prozessablauf dargestellt. 
key	Schlüssel
g_no_praxis_links	Praxis-Modus ohne Pfeile
generate_navprj	Navigationsprojekt Erzeugen
no_navmacroset	Aufgrund des fehlenden Navigationsmacrosets im Arbeitsbereich konnte kein Navigationsprojekt erzeugt werden.
tech_preview	* TECHNISCHE VORSCHAU *
support_warn	Wird nicht unterstützt von dks 6.3!
